offset,modbus_address,name,value,count,type,size,scale_factor,units,rw_access,mandatory,static,label,description
466 | 467 | 468,40778,censt,,,bitfield32,,,,,Cell Status | Cell Voltage,,Status of me ce1143,
469,40779,CellTmp,,,int16,,,c,,Cei e mperature | Cell Voltage,,Cell Temperature,Cell temperature
471,40781,,,,,,,,,-Cell Status,,Status of the cef144,
474,40784,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
475,40785,,,,,,,,,,,Status of me cell 145,
477,40787,Cell Tmp,,,int16,,,c,,Cell Temperature,,Cell temperature46,
478,40788,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
480,40790,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
481,40791,CellTmp,,,int16,,,c,,,,Cell Temperature,Cell temperature
482,40792,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
4-84,40794,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
485,40795,CellTmp,,,int16,,,,,ICell Temperature,,Cell Temperature,Cell temperature
486,40796,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
489 | c 90,40799,Cell Tmp | ecenst,,,bitfield32,,,c,,Cell Temperature,,Cell temperature49,
c 90 | 491,40801,,,,bitfield32,,,,,Cen Status,,Status of the cell 149,
492,40802,CellV,,,uint16,,,,,u Ceil VOItaze,,Cell Voltage,Cell terminal voltage
493,40803,CellTmp,,,int16,,,c,,Cell Status,,Cell Temperature,Cell temperature
496 | 497 | 498,40807,CellV,,,bitfield32,,,c,,vCen Status | 'Cell Voltage | .Celi Temperature,,Cell Voltage,Cell terminal voltage
soo,40810,CellV,,,int16,,CellV Sf,v,,Ceu Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
SOI,40811,CellTmp,,,int16,,Tmp_SF,c,,Cell Status,,Cell Temperature,Cell temperature
510 | 502 | 503,40812,CellSt,,,bitfield32,,,,,Lithium-lon Module Model,,Cell Status,Status of the cell
513 | 504,40814,lithium-ion-module,,,uint16,,,,,S,,,Model I ength | Identifier
306,40816,Strldx,,,uint16,1,,,,Module Index,,,Index of the module Within me string
516 | 507 | 508,40817,Mod ld | NCe11,,,uint16,1,,,,Module Cell Count,,,I Module state of Charge. expressed as a percentage | Count of 411 ceils n the module
520 | 522 | 512 | 513,40823,,,,uint16,2,,,,Module Voltage,,E Count,Voltage of me module | Count of caes executed
524',40824,CellV,,,uint16,1,CellV,,,Max Cell Voltage | Max Cell Voltage Cell,,Cell Voltage,Cell terminal voltage
526 | 527 | ' 516 | 517 | 51B | 519,40827,CellV,,,uint16,1,CellV_SF | CellV_Sf,,,Average Cell Voltage | Min Cell Voltage | Min Cell Voltage Cell,,Cell Voltage,Cell terminal voltage
528 | 529 | 519 | 520 | 527 | 528,40831,CellTmp,,,uint16,1,Tmp_SF | Tmp_Sf,c,,M,,Cell Temperature,Cell temperature
